CustomerID,LastPurchaseDate,FirstPurchaseDate,Frequency,Monetary,Recency,T,AOV,Predicted_CLTV,CLTV_Segment
12346,2011-01-18 10:01:00,2011-01-18 10:01:00,1,77183.6,326,326,77183.6,76404.48176903572,High
12347,2011-10-31 12:25:00,2010-07-12 14:57:00,7,4309.999999999997,40,516,615.7142857142853,3807.1363140650724,High
12348,2011-09-25 13:13:00,2010-12-16 19:09:00,4,1797.24,76,358,449.31,1982.1237161325375,High
12349,2011-11-21 09:51:00,2011-11-21 09:51:00,1,1757.55,19,19,1757.55,1598.9386675156275,High
12350,2011-02-02 16:01:00,2011-02-02 16:01:00,1,334.40000000000003,311,311,334.40000000000003,406.2698285403963,Medium
12352,2011-09-28 14:58:00,2011-01-03 14:57:00,8,2506.040000000001,73,341,313.2550000000001,2317.492022773928,High
12353,2011-05-19 17:47:00,2011-05-19 17:47:00,1,89.0,204,204,89.0,100.22757038326486,Low
12354,2011-04-21 13:11:00,2011-04-21 13:11:00,1,1079.4,233,233,1079.4,1015.4897986645044,Medium
12355,2011-09-05 13:49:00,2011-09-05 13:49:00,1,459.4,96,96,459.4,692.8097798513719,Medium
12356,2011-11-17 08:40:00,2011-01-18 09:50:00,3,2811.4300000000007,23,326,937.1433333333335,2888.275490160151,High
12357,2011-06-11 16:07:00,2011-06-11 16:07:00,1,6207.669999999996,182,182,6207.669999999996,8769.222295317557,High
12358,2011-12-07 10:04:00,2011-08-12 10:26:00,2,1168.06,3,120,584.03,1222.845300199355,Medium
12359,2011-12-01 12:43:00,2011-03-06 12:26:00,4,6372.580000000005,9,279,1593.1450000000013,5605.048048688207,High
12360,2011-10-18 15:22:00,2011-05-23 09:43:00,3,2662.0600000000004,53,201,887.3533333333335,2790.3418239219127,High
12361,2011-02-25 13:51:00,2011-02-25 13:51:00,1,189.89999999999998,288,288,189.89999999999998,159.3547567015359,Low
12362,2011-11-10 14:33:00,2011-02-17 10:30:00,10,5226.230000000003,30,296,522.6230000000003,4666.259612398253,High
12363,2011-11-04 13:29:00,2011-08-22 10:18:00,2,552.0,36,110,276.0,503.4779018782989,Medium
12364,2011-10-30 15:43:00,2011-02-12 10:22:00,4,1313.1000000000001,41,301,328.27500000000003,1292.117153369621,High
12365,2011-02-21 14:04:00,2011-02-21 13:51:00,2,641.38,292,292,320.69,576.4581633600019,Medium
12367,2011-05-12 16:48:00,2011-05-12 16:48:00,1,168.9,212,212,168.9,127.8103346967307,Low
12370,2011-10-19 14:51:00,2010-12-14 12:58:00,4,3545.689999999998,52,361,886.4224999999994,3380.1102102028517,High
12371,2011-11-10 10:43:00,2011-10-26 10:16:00,2,1887.9600000000003,30,45,943.9800000000001,1981.2523865355956,High
12372,2011-11-05 10:43:00,2011-02-16 12:46:00,3,1298.0400000000002,35,297,432.68000000000006,1258.4178618011372,High
12373,2011-01-02 13:10:00,2011-01-02 13:10:00,1,364.6,342,342,364.6,406.2698285403963,Medium
12374,2011-11-14 15:37:00,2011-11-14 15:37:00,1,742.93,26,26,742.93,1006.1238500025288,Medium
12375,2011-11-29 10:36:00,2011-02-09 14:23:00,2,457.5000000000001,11,304,228.75000000000006,306.11066773132114,Low
12377,2011-01-28 15:45:00,2010-12-20 09:37:00,2,1628.1199999999997,316,355,814.0599999999998,1829.9264013214774,High
12378,2011-02-08 10:34:00,2011-02-08 10:34:00,1,4008.6200000000013,305,305,4008.6200000000013,3767.361512305121,High
12379,2011-09-19 10:09:00,2011-06-22 16:32:00,2,852.2399999999997,82,171,426.11999999999983,935.9999463026568,Medium
12380,2011-11-18 11:27:00,2011-07-06 09:49:00,4,2724.81,22,157,681.2025,2618.959563683114,High
12381,2011-12-10 11:30:00,2011-05-12 12:44:00,5,1845.3100000000006,0,212,369.0620000000001,1768.6179974730965,High
12383,2011-12-01 14:10:00,2010-12-22 14:28:00,5,1850.5599999999997,9,353,370.11199999999997,1844.3897282598984,High
12384,2011-11-11 08:39:00,2011-10-08 11:23:00,2,585.2700000000001,29,63,292.63500000000005,547.7519436338201,Medium
12386,2011-06-01 12:37:00,2010-08-12 09:53:00,2,401.90000000000003,192,485,200.95000000000002,253.88545505207358,Low
12388,2011-11-24 12:30:00,2011-01-17 11:12:00,6,2780.6600000000003,16,327,463.4433333333334,2777.8431766255535,High
